PowerDemand,HeatDemand,PV,Wind
176.1963878,167.9461994,0,99.82969008
168.3996781,164.7180191,0,84.99347903
158.6834226,161.3269223,0,65.4189799
147.5332894,159.004363,0,56.02299269
138.2159756,156.9896949,0,67.7916837
126.4385209,154.7977155,0,83.02488882
114.273688,152.7507118,0,108.1459342
105.3524251,151.4278907,0,127.9473528
100.7588131,148.4024149,0,123.8260141
99.06475605,141.504367,0,157.5701834
99.42611635,132.7405276,0,191.4981152
101.8573484,126.8928561,0,182.2889
110.1165992,125.0122653,0,178.3298878
131.6334365,127.0443024,0,180.5924243
157.4981608,133.9126718,0,182.1104619
165.306434,145.5814449,215.9099511,181.4439514
162.7653484,159.8767962,517.5945212,151.2942386
163.6586311,171.8497214,668.3007058,160.56748
162.2305352,179.9824077,644.9390462,154.2427541
159.2962896,183.3695961,538.0911735,140.7343879
159.1546364,183.1339139,408.1071417,140.7112556
157.6022326,180.901858,106.6381722,137.118057
153.6301602,177.8184878,0,114.4277226
160.8949476,174.1013143,0,95.30557291
174.765401,170.2210027,0,90.39477192
167.9226825,166.9927948,0,63.23884289
156.3302443,164.1450909,0,49.70007452
146.0040126,161.822504,0,41.92493027
135.7905253,159.3730718,0,29.92611584
124.1865236,156.9636964,0,20.58873459
111.2671704,155.4600858,0,16.55380367
103.4473337,155.0067101,0,9.842487262
99.25555429,156.5459406,0,4.13767928
97.49211606,159.6468059,0,2.452620184
97.81878577,164.5771405,0,1.510355587
100.0014019,171.6628541,0,2.055227394
107.9137469,180.1072289,0,3.483675645
130.4395021,189.7471282,0,4.754559466
154.8414399,197.8109956,0,5.169425165
162.9706011,204.0455341,20.76921301,6.443986485
161.8287026,207.7984962,43.83470189,11.25787478
163.8667746,208.6856115,43.82327186,15.04985382
162.973492,206.3845928,64.5647548,22.49828328
160.0594826,201.4030748,43.8002918,30.17944166
160.3803705,196.0592104,20.74205294,44.85160881
158.8626573,190.7839711,0,63.22103306
156.338917,185.961627,0,89.52364769
163.0891273,182.5704784,0,105.8708326
174.2103516,180.3204013,0,114.7007827
168.0383178,179.0484804,0,124.091576
157.0847646,178.3744318,0,79.90380375
146.4810082,178.1168159,0,117.6833707
137.4094194,179.6886693,0,140.5631114
126.0627062,181.4092637,0,141.2536449
113.169371,182.5140449,0,124.044641
104.2625625,184.1256404,0,128.9884729
100.1199281,186.4256324,0,129.4714376
98.09920135,188.7656805,0,120.9092956
97.88527606,189.7833592,0,115.7236771
100.2760358,189.1524712,0,105.8042007
107.9889098,188.7934033,0,64.17785671
129.3467486,186.9127562,0,50.02836537
154.5089885,185.1950235,0,44.18646806
162.0484096,184.5824337,64.19983387,35.41804714
161.7593214,184.3140551,277.357908,26.43591785
163.3435249,185.6358795,426.233088,19.53559853
161.2071629,187.1387782,487.9690455,15.84331989
156.1654641,188.4609128,467.2196926,17.9020777
153.2659091,188.0078073,361.7647234,23.93570697
148.6058067,184.9062232,169.3863324,27.08769303
145.5183444,179.9751676,20.59523257,35.62626525
154.6043876,173.2147831,0,38.58024541
165.0057822,165.2044192,0,52.29341666
159.2760534,156.2158968,0,82.13378362
146.8683864,147.7165627,0,108.9373052
135.6112906,140.5031344,0,112.211517
126.1783415,135.0104913,0,125.4190455
118.0115989,131.079483,0,152.6100376
108.4832507,129.4671333,0,164.2314531
101.351444,130.6439647,0,171.4699819
95.99463901,133.7047182,0,170.0262987
92.78286873,137.6750017,0,159.3484715
91.75371462,143.0400179,0,152.7222521
92.2972005,149.1475193,0,145.3891173
94.77757754,155.4181564,0,152.5121574
100.7009955,161.4714242,0,156.0760758
110.5010866,166.3833966,0,156.1475445
121.0412436,170.6615657,84.25463506,140.3482502
128.2713403,172.8928949,275.4541031,134.5746798
132.3850659,173.3452188,191.167788,126.8906284
133.096223,171.8049343,168.3598297,143.9219704
131.1188594,169.1057283,127.3695251,142.9031073
129.5375468,166.3702285,63.66579251,134.8694429
128.8986618,163.9207219,43.18888024,152.0551415
130.7459356,161.38069,0,172.0387888
140.8813691,159.8371169,0,201.4413994
153.2803635,159.108563,0,226.8883897
148.0247394,158.9234286,0,243.5639135
136.2964297,158.3580094,0,257.4732122
126.6813551,157.1221815,0,259.1330418
120.3532136,156.302929,0,256.9206515
113.4035325,154.9803127,0,252.747523
106.3584522,154.2374088,0,253.3690293
99.38564399,153.7839509,0,255.983505
94.17338313,153.692837,0,252.4115768
90.56267109,155.0546738,0,246.5149431
89.36873668,157.0498112,0,239.5272891
89.60578904,160.1147725,0,248.6785929
91.10037521,163.6682789,0,240.8962869
95.22277342,167.5478366,0,242.1464376
102.4441975,171.8076769,0,227.0135231
111.7036936,175.1076614,126.5962231,226.3579791
118.500158,177.7737,377.4103633,234.657737
123.3626221,178.8781015,440.5513245,247.7973761
125.5799289,178.7506834,460.740176,246.6590873
125.6608736,176.9209234,440.2753238,247.3373631
124.8080633,173.5332914,334.0526527,250.7873267
